Cd mon;Mon dest;Fecha efectiva;Tipo cambio
EUR;COP;14/01/2023;5083,35647
EUR;COP;13/01/2023;5081,24471
EUR;COP;12/01/2023;5131,50975
EUR;COP;11/01/2023;5170,12149
EUR;COP;10/01/2023;5241,33604
EUR;COP;09/01/2023;5247,93
EUR;COP;08/01/2023;5180,02
EUR;COP;07/01/2023;5180,02
EUR;COP;06/01/2023;5290,20219
EUR;COP;05/01/2023;5179,8018
EUR;COP;04/01/2023;5134,49039
EUR;COP;03/01/2023;5077,40661
EUR;COP;02/01/2023;5133,68595
EUR;COP;01/01/2023;5133,68595
USD;COP;31/12/2023;3822,05
USD;COP;30/12/2023;3822,05
USD;COP;29/12/2023;3822,05
USD;COP;28/12/2023;3844,81
USD;COP;27/12/2023;3871,45
USD;COP;26/12/2023;3915,43
USD;COP;25/12/2023;3915,43
USD;COP;24/12/2023;3915,43
USD;COP;23/12/2023;3915,43
USD;COP;22/12/2023;3943,03
USD;COP;21/12/2023;3948,54
USD;COP;20/12/2023;3925,77
USD;COP;19/12/2023;3932,59
USD;COP;18/12/2023;3956,76
USD;COP;17/12/2023;3956,76
USD;COP;16/12/2023;3956,76
USD;COP;15/12/2023;3955,88
USD;COP;14/12/2023;3999,43
USD;COP;13/12/2023;3990,88
USD;COP;12/12/2023;3982,5
USD;COP;11/12/2023;3998,51
USD;COP;10/12/2023;3998,51
USD;COP;09/12/2023;3998,51
USD;COP;08/12/2023;3998,51
USD;COP;07/12/2023;3989,55
USD;COP;06/12/2023;4023,21
USD;COP;05/12/2023;3999,91
USD;COP;04/12/2023;3983,15
USD;COP;03/12/2023;3983,15
USD;COP;02/12/2023;3983,15
USD;COP;01/12/2023;4045,22
USD;COP;30/11/2023;3980,67
USD;COP;29/11/2023;3957,77
USD;COP;28/11/2023;3989,89
USD;COP;27/11/2023;4044,51
USD;COP;26/11/2023;4044,51
USD;COP;25/11/2023;4044,51
USD;COP;24/11/2023;4092,33
USD;COP;23/11/2023;4092,33
USD;COP;22/11/2023;4060,15
USD;COP;21/11/2023;4033,83
USD;COP;20/11/2023;4116,59
USD;COP;19/11/2023;4116,59
USD;COP;18/11/2023;4116,59
USD;COP;17/11/2023;4077,44
USD;COP;16/11/2023;3976,84
USD;COP;15/11/2023;3963,57
USD;COP;14/11/2023;4037,19
USD;COP;13/11/2023;4037,19
USD;COP;12/11/2023;4037,19
USD;COP;11/11/2023;4037,19
USD;COP;10/11/2023;4056,94
USD;COP;09/11/2023;4065,79
USD;COP;08/11/2023;4005,06
USD;COP;07/11/2023;3975,09
USD;COP;06/11/2023;3975,09
USD;COP;05/11/2023;3975,09
USD;COP;04/11/2023;3975,09
USD;COP;03/11/2023;4047,11
USD;COP;02/11/2023;4117,71
USD;COP;01/11/2023;4114,29
USD;COP;31/10/2023;4060,83
USD;COP;30/10/2023;4120,62
USD;COP;29/10/2023;4120,62
USD;COP;28/10/2023;4120,62
USD;COP;27/10/2023;4154,94
USD;COP;26/10/2023;4201,53
USD;COP;25/10/2023;4213,97
USD;COP;24/10/2023;4221,39
USD;COP;23/10/2023;4238,85
USD;COP;22/10/2023;4238,85
USD;COP;21/10/2023;4238,85
USD;COP;20/10/2023;4249,71
USD;COP;19/10/2023;4227,39
USD;COP;18/10/2023;4222,09
USD;COP;17/10/2023;4249
USD;COP;16/10/2023;4249
USD;COP;15/10/2023;4249
USD;COP;14/10/2023;4249
USD;COP;13/10/2023;4230,61
USD;COP;12/10/2023;4212,5
USD;COP;11/10/2023;4231,97
USD;COP;10/10/2023;4386,66
USD;COP;09/10/2023;4386,66
USD;COP;08/10/2023;4386,66
USD;COP;07/10/2023;4386,66
USD;COP;06/10/2023;4359,4
USD;COP;05/10/2023;4252,09
USD;COP;04/10/2023;4187,01
USD;COP;03/10/2023;4141,43
USD;COP;02/10/2023;4053,76
USD;COP;01/10/2023;4053,76
USD;COP;30/09/2023;4053,76
USD;COP;29/09/2023;4085,57
USD;COP;28/09/2023;4093,6
USD;COP;27/09/2023;4068,73
USD;COP;26/09/2023;4052,54
USD;COP;25/09/2023;3948,7
USD;COP;24/09/2023;3948,7
USD;COP;23/09/2023;3948,7
USD;COP;22/09/2023;3948,25
USD;COP;21/09/2023;3907,21
USD;COP;20/09/2023;3902,54
USD;COP;19/09/2023;3905,95
USD;COP;18/09/2023;3928,28
USD;COP;17/09/2023;3928,28
USD;COP;16/09/2023;3928,28
USD;COP;15/09/2023;3926,59
USD;COP;14/09/2023;3950,92
USD;COP;13/09/2023;3993,53
USD;COP;12/09/2023;3997,74
USD;COP;11/09/2023;4012,26
USD;COP;10/09/2023;4012,26
USD;COP;09/09/2023;4012,26
USD;COP;08/09/2023;4045,83
USD;COP;07/09/2023;4093,04
